"Company","Exclusion Reason","Evidence","Last Verified Date"
"Wiz","Not independent - acquired","Google completed $32B acquisition 2026-03-11 (Google Cloud press, PRNewswire)","2026-08-25"
"Netskope","Employee count over 2500 cap","3,250-3,399 employees 2026 (Revelio Labs; SEC filings). Public NASDAQ NTSK","2026-08-25"
"SentinelOne","Employee count over 2500 cap","3,078 (Revelio Mar 2026); 3,175 (Jun 30 2026). Public NYSE S","2026-08-25"
"At-Bay","Not independent - acquisition agreed","Munich Re Group agreed to acquire At-Bay announced 2026-08-19 (Munich Re media release)","2026-08-25"
"Material Security","Employee count below 100 floor","86 employees (PitchBook 2026)","2026-08-25"
"Weights and Biases","Not independent - acquired","CoreWeave completed acquisition 2025-05-05 for ~$1.7B (CoreWeave investor relations, PRNewswire)","2026-08-25"
"Navan","Employee count over 2500 cap","3,300 (LeadIQ Mar 2026) to 3,700 (PitchBook). Public NASDAQ NAVN since 2025-10-31","2026-08-25"
"Melio","Not independent - acquired","Xero acquired Melio, closed 2025-10-15, US$2.5B upfront (PRNewswire, Payments Dive)","2026-08-25"
"Addepar","Tier-one backing not confirmed","Size (1,448 Jun 2026) and HQ (Mountain View CA) verified, but no tier-one firm from the list appears in reachable investor records","2026-08-25"
"Gusto","Employee count over 2500 cap","~3,700 (Revelio Dec 2025) to ~4,300 (LeadIQ Feb 2026)","2026-08-25"
"ServiceTitan","Employee count over 2500 cap","3,529 (Revelio Mar 2026); 3,414 (PitchBook); 3.2K (LeadIQ May 2026). Public NASDAQ TTAN","2026-08-25"
"Klaviyo","Employee count over 2500 cap","Crossed cap during 2026: 2,461 (Revelio Mar) then 2,984 (Tracxn Jun 30) and 3,023. Public NYSE KVYO","2026-08-25"
"Astronomer","Employee count over 2500 cap - FIGURE SUSPECT","4,572 (Tracxn Jun 30 2026) and ~4.6K (LeadIQ May 2026). Two providers agree but figure is inconsistent with company's historical scale - treat as unreliable rather than confirmed","2026-08-25"
"Chronosphere","Not independent - acquired","Acquired by Palo Alto Networks 2026-01-29 (PitchBook)","2026-08-25"
