company|reason|evidence
Wiz|Not independent - acquired|Google completed $32B acquisition 2026-03-11 (Google Cloud press, PRNewswire)
Netskope|Employee count over 2500 cap|3,250-3,399 employees 2026 (Revelio Labs; SEC filings). Public NASDAQ NTSK
SentinelOne|Employee count over 2500 cap|3,078 (Revelio Mar 2026); 3,175 (Jun 30 2026). Public NYSE S
At-Bay|Not independent - acquisition agreed|Munich Re Group agreed to acquire At-Bay announced 2026-08-19 (Munich Re media release)
Material Security|Employee count below 100 floor|86 employees (PitchBook 2026)
Weights and Biases|Not independent - acquired|CoreWeave completed acquisition 2025-05-05 for ~$1.7B (CoreWeave investor relations, PRNewswire)
Navan|Employee count over 2500 cap|3,300 (LeadIQ Mar 2026) to 3,700 (PitchBook). Public NASDAQ NAVN since 2025-10-31
Melio|Not independent - acquired|Xero acquired Melio, closed 2025-10-15, US$2.5B upfront (PRNewswire, Payments Dive)
Addepar|Tier-one backing not confirmed|Size (1,448 Jun 2026) and HQ (Mountain View CA) verified, but no tier-one firm from the list appears in reachable investor records
Gusto|Employee count over 2500 cap|~3,700 (Revelio Dec 2025) to ~4,300 (LeadIQ Feb 2026)
ServiceTitan|Employee count over 2500 cap|3,529 (Revelio Mar 2026); 3,414 (PitchBook); 3.2K (LeadIQ May 2026). Public NASDAQ TTAN
Klaviyo|Employee count over 2500 cap|Crossed cap during 2026: 2,461 (Revelio Mar) then 2,984 (Tracxn Jun 30) and 3,023. Public NYSE KVYO
Astronomer|Employee count over 2500 cap - FIGURE SUSPECT|4,572 (Tracxn Jun 30 2026) and ~4.6K (LeadIQ May 2026). Two providers agree but figure is inconsistent with company's historical scale - treat as unreliable rather than confirmed
Chronosphere|Not independent - acquired|Acquired by Palo Alto Networks 2026-01-29 (PitchBook)
