company|sector|firms|employees|source|hq|status|verified|note
Abnormal AI (Abnormal Security)|Security|Greylock, Insight Partners|~1,400-1,500|Revelio Labs / company statement, Jun 2026|San Francisco, CA|Private|2026-08-25|Renamed Abnormal AI; some records list a Las Vegas NV address
Snyk|Security|Accel, Greylock|1,550-1,870|Crustdata Aug 2026 (1,870); PitchBook (1,550)|Boston, MA|Private|2026-08-25|Source spread ~300
Illumio|Security|Andreessen Horowitz, General Catalyst, Accel|891|Revelio Labs, Mar 2026|Sunnyvale, CA|Private|2026-08-25|
Tanium|Security|Andreessen Horowitz, IVP|~2,300|LeadIQ/ZoomInfo, Jun 2026|Kirkland, WA|Private|2026-08-25|Near upper bound of range
Axonius|Security|Bessemer, Lightspeed, Accel|774-944|Revelio Labs Dec 2025 (944); LeadIQ Mar 2026 (774)|New York, NY|Private|2026-08-25|Source spread ~170
Claroty|Security|Bessemer Venture Partners|770-857|Revelio Labs, Mar 2026 (770); PitchBook (857)|New York, NY|Private|2026-08-25|
Sysdig|Security|Accel, Insight Partners|723|Revelio Labs, Mar 2026|San Francisco, CA|Private|2026-08-25|Headcount down 28.8% since 2023
Corelight|Security|Accel, Insight Partners, General Catalyst|456-477|Revelio Labs Mar 2026 (456); LeadIQ Jul 2026 (477)|San Francisco, CA|Private|2026-08-25|
Huntress|Security|Kleiner Perkins|950-986|PitchBook Aug 17 2026 (986); Revelio Jun 2026 (950)|Columbia, MD|Private|2026-08-25|HQ corrected from Ellicott City
Cyera|Security|Sequoia, Accel|1,300-1,500|PitchBook (1,500); Revelio Dec 2025 (1,477); LeadIQ Mar 2026 (1.3K)|New York, NY|Private|2026-08-25|85.9% YoY growth
Island|Security|Sequoia, Insight Partners|1,263|PitchBook, Jun 2026|Dallas, TX|Private|2026-08-25|Older sources say 500
Orca Security|Security|Redpoint Ventures|495|LeadIQ/Tracxn, Jan 31 2026|Portland, OR|Private|2026-08-25|Israel-founded; US HQ Portland
Cybereason|Security|Lightspeed Venture Partners|455-564|Revelio Mar 2026 (564); Jun 30 2026 (455)|Boston, MA (disputed - La Jolla CA)|Private|2026-08-25|HQ CONFLICT across sources; headcount declining
BigID|Security|Bessemer, Insight Partners|625-709|Revelio Mar 2026 (639); Tracxn Jun 2026 (625); LeadIQ Feb 2026 (709)|New York, NY|Private|2026-08-25|
Chainguard|Security|Sequoia, Kleiner Perkins, IVP, Redpoint|622-705|Crustdata Jun 2026 (705); Revelio Dec 2025 (688)|Kirkland, WA|Private|2026-08-25|
Expel|Security|Index Ventures, Battery Ventures, NEA|481-484|Tracxn/PitchBook, Apr 30 2026|Herndon, VA|Private|2026-08-25|Backing confirmed via Tracxn investor list
HackerOne|Security|Benchmark, NEA|UNVERIFIED|Sources irreconcilable: Revelio Mar 2026 (3,696) vs LeadIQ May 2026 (6,897)|San Francisco, CA|Private|2026-08-25|FLAGGED - figures likely count researcher community not employees
Vanta|Security|Sequoia Capital|1,884-1,917|Tracxn May 31 2026 (1,884); PitchBook (1,917)|San Francisco, CA|Private|2026-08-25|Sequoia confirmed in Jul 2025 $150M Series D; GetLatka outlier says ~1,000
Teleport|Security|Kleiner Perkins, Bessemer|194-230|Wikipedia (230); PitchBook (194)|Oakland, CA|Private|2026-08-25|
Coalition|Fintech|Index Ventures|701-733|PitchBook (733); Tracxn Jun 30 2026 (714)|San Francisco, CA|Private|2026-08-25|Cyber insurance; Index backing confirmed via Tracxn
Semgrep|Security|Redpoint, Sequoia|253-272|Tracxn Jun 30 2026 (272); Crustdata (269); Revelio Mar 2026 (253)|San Francisco, CA|Private|2026-08-25|
Salt Security|Security|Sequoia Capital|199-208|LeadIQ Jun 2026 (208); PitchBook (199)|Palo Alto, CA|Private|2026-08-25|
Cribl|SaaS|Sequoia, IVP, Redpoint|~1,000-1,100|Company press release Jan 2026 (1,000+); Revelio Mar 2026 (1.1K)|San Francisco, CA|Private|2026-08-25|
Gong|SaaS|Sequoia, Battery Ventures|2,101-2,633|Revelio Mar 2026 (2,101); LeadIQ Apr 2026 (2.5K); other (2,633)|San Francisco, CA|Private|2026-08-25|BORDERLINE - upper estimates exceed 2500 cap
Airtable|SaaS|Benchmark, Index Ventures|833-947|Tracxn Jun 30 2026 (935); Revelio Mar 2026 (932); LeadIQ (947)|San Francisco, CA|Private|2026-08-25|
Clari|SaaS|Sequoia Capital|614-950|GetLatka 2026 (950); LeadIQ Mar 2026 (725); Tracxn Jun 30 2026 (614)|Sunnyvale, CA|Private|2026-08-25|Wide source spread
Fivetran|SaaS|Andreessen Horowitz, General Catalyst|1,800-2,621|Revelio Mar 2026 (2,621); other providers (1,800-1,900)|Oakland, CA|Private|2026-08-25|BORDERLINE - Revelio figure exceeds 2500 cap
Notion|SaaS|Index Ventures, Sequoia|UNVERIFIED|Irreconcilable: Revelio Mar 2026 (2,969); jobsbyculture 2026 (~4,800); others (~1,000)|San Francisco, CA|Private|2026-08-25|FLAGGED - spread straddles the 2500 cap, eligibility undetermined
