company,domain,sector,backing_firms,prior_hq,prior_note
Abnormal Security,abnormalsecurity.com,Security,"Greylock, Insight Partners",San Francisco CA,
Snyk,snyk.io,Security,"Accel, Greylock",Boston MA,
Netskope,netskope.com,Security,"Lightspeed, Accel, Sequoia",Santa Clara CA,IPO Sept 2025 - check status
Illumio,illumio.com,Security,"Andreessen Horowitz, General Catalyst, Accel",Sunnyvale CA,
Vanta,vanta.com,Security,"Sequoia Capital",San Francisco CA,
Wiz,wiz.io,Security,"Sequoia, Index Ventures, Insight, Lightspeed",New York NY,Google acquisition announced 2025 - check status
Orca Security,orca.security,Security,"Redpoint Ventures",Portland OR,check US HQ
Cybereason,cybereason.com,Security,"Lightspeed",Boston MA,
Axonius,axonius.com,Security,"Bessemer, Lightspeed, Accel",New York NY,
Claroty,claroty.com,Security,"Bessemer",New York NY,
SentinelOne,sentinelone.com,Security,"Insight Partners, Redpoint",Mountain View CA,Public NYSE S
Tanium,tanium.com,Security,"Andreessen Horowitz, IVP",Kirkland WA,
HackerOne,hackerone.com,Security,"Benchmark, NEA",San Francisco CA,
Chainguard,chainguard.dev,Security,"Sequoia, Kleiner Perkins, IVP, Redpoint",Kirkland WA,
Semgrep,semgrep.dev,Security,"Redpoint, Sequoia",San Francisco CA,
Huntress,huntress.com,Security,"Kleiner Perkins",Ellicott City MD,
Corelight,corelight.com,Security,"Accel, Insight, General Catalyst",San Francisco CA,
Sysdig,sysdig.com,Security,"Accel, Insight Partners",San Francisco CA,
Cribl,cribl.io,SaaS,"Sequoia, IVP, Redpoint",San Francisco CA,
Cyera,cyera.com,Security,"Sequoia, Accel",New York NY,
Island,island.io,Security,"Sequoia, Insight Partners",Dallas TX,
BigID,bigid.com,Security,"Bessemer, Insight Partners",New York NY,
Salt Security,salt.security,Security,"Sequoia",Palo Alto CA,
Teleport,goteleport.com,Security,"Kleiner Perkins, Bessemer",Oakland CA,
At-Bay,at-bay.com,Fintech,"Khosla Ventures, Lightspeed",Mountain View CA,cyber insurance
Coalition,coalitioninc.com,Fintech,"Index Ventures",San Francisco CA,cyber insurance - verify backing
Expel,expel.io,Security,"Index Ventures, Battery",Herndon VA,verify backing
Material Security,material.security,Security,"Andreessen Horowitz, Founders Fund",Redwood City CA,
Airtable,airtable.com,SaaS,"Benchmark, Index Ventures",San Francisco CA,
Notion,notion.so,SaaS,"Index Ventures, Sequoia",San Francisco CA,
Figma,figma.com,SaaS,"Index, Greylock, Sequoia, Kleiner Perkins",San Francisco CA,Public 2025
Amplitude,amplitude.com,SaaS,"Benchmark, IVP, Sequoia, Battery",San Francisco CA,Public
Braze,braze.com,SaaS,"Battery Ventures",New York NY,Public
Klaviyo,klaviyo.com,SaaS,"Accel",Boston MA,Public
Gong,gong.io,SaaS,"Sequoia, Battery Ventures",San Francisco CA,
Clari,clari.com,SaaS,"Sequoia",Sunnyvale CA,
Apollo.io,apollo.io,SaaS,"Sequoia, Bain Capital Ventures",San Francisco CA,
Postman,postman.com,SaaS,"Insight Partners, Battery Ventures",San Francisco CA,
Seismic,seismic.com,SaaS,"Insight Partners",San Diego CA,
6sense,6sense.com,SaaS,"Insight Partners",San Francisco CA,
dbt Labs,getdbt.com,SaaS,"Andreessen Horowitz, Sequoia",Philadelphia PA,
Fivetran,fivetran.com,SaaS,"Andreessen Horowitz, General Catalyst",Oakland CA,
Hightouch,hightouch.com,SaaS,"Andreessen Horowitz",San Francisco CA,
Monte Carlo,montecarlodata.com,SaaS,"Accel, Redpoint, IVP",San Francisco CA,
Starburst,starburst.io,SaaS,"Index Ventures, Andreessen Horowitz",Boston MA,
ClickHouse,clickhouse.com,SaaS,"Index, Benchmark, Lightspeed",San Francisco CA,
Grafana Labs,grafana.com,SaaS,"Lightspeed, Sequoia",New York NY,
Chronosphere,chronosphere.io,SaaS,"Greylock, Founders Fund",New York NY,
Temporal,temporal.io,SaaS,"Sequoia, Index Ventures, IVP",Bellevue WA,
Cockroach Labs,cockroachlabs.com,SaaS,"Benchmark, Index Ventures, Redpoint",New York NY,
Supabase,supabase.com,SaaS,"Accel",San Francisco CA,
Vercel,vercel.com,SaaS,"Accel",San Francisco CA,
Netlify,netlify.com,SaaS,"Andreessen Horowitz, Kleiner Perkins, Bessemer",San Francisco CA,
Retool,retool.com,SaaS,"Sequoia, Andreessen Horowitz",San Francisco CA,
Linear,linear.app,SaaS,"Accel, Sequoia",San Francisco CA,likely under 100
Sourcegraph,sourcegraph.com,SaaS,"Andreessen Horowitz, Sequoia, Redpoint",San Francisco CA,
Harness,harness.io,SaaS,"IVP",San Francisco CA,
CircleCI,circleci.com,SaaS,"IVP",San Francisco CA,
GitLab,gitlab.com,SaaS,"Khosla Ventures",San Francisco CA,Public
JFrog,jfrog.com,SaaS,"Battery Ventures, Insight Partners",Sunnyvale CA,Public - verify US HQ
Sentry,sentry.io,SaaS,"Accel, NEA",San Francisco CA,
LaunchDarkly,launchdarkly.com,SaaS,"Andreessen Horowitz, Redpoint, Bessemer",Oakland CA,
Honeycomb,honeycomb.io,SaaS,"Insight Partners",San Francisco CA,
Astronomer,astronomer.io,SaaS,"Insight Partners",New York NY,
SingleStore,singlestore.com,SaaS,"Accel, Khosla, Insight Partners",San Francisco CA,
PlanetScale,planetscale.com,SaaS,"Andreessen Horowitz, Insight Partners",Mountain View CA,
Yugabyte,yugabyte.com,SaaS,"Lightspeed",Sunnyvale CA,
Pinecone,pinecone.io,SaaS,"Andreessen Horowitz",New York NY,
Hex,hex.tech,SaaS,"Andreessen Horowitz, Sequoia, Redpoint",San Francisco CA,
Airbyte,airbyte.com,SaaS,"Accel, Benchmark",San Francisco CA,
ThoughtSpot,thoughtspot.com,SaaS,"Lightspeed, Khosla, General Catalyst",Mountain View CA,
Collibra,collibra.com,SaaS,"Index Ventures, Battery Ventures",New York NY,verify US HQ
Workato,workato.com,SaaS,"Battery, Insight, Redpoint",Mountain View CA,
Zapier,zapier.com,SaaS,"Sequoia, Bessemer",San Francisco CA,
Pendo,pendo.io,SaaS,"Battery Ventures",Raleigh NC,
Instabase,instabase.com,SaaS,"Greylock, NEA, Index, Andreessen Horowitz",San Francisco CA,
Ironclad,ironcladapp.com,SaaS,"Accel, Sequoia",San Francisco CA,
Everlaw,everlaw.com,SaaS,"Andreessen Horowitz",Oakland CA,
Harvey,harvey.ai,SaaS,"Sequoia, Kleiner Perkins",San Francisco CA,
Glean,glean.com,SaaS,"Sequoia, Kleiner Perkins, Lightspeed, General Catalyst, IVP",Palo Alto CA,
Writer,writer.com,SaaS,"Insight Partners",San Francisco CA,
Jasper,jasper.ai,SaaS,"Insight Partners, Bessemer, IVP",Austin TX,
Hugging Face,huggingface.co,SaaS,"Sequoia, Andreessen Horowitz",New York NY,
Scale AI,scale.com,SaaS,"Accel, Index Ventures, Founders Fund",San Francisco CA,Meta stake 2025 - check status
Weights and Biases,wandb.ai,SaaS,"Insight Partners",San Francisco CA,CoreWeave acquisition 2025 - check status
Anysphere,cursor.com,SaaS,"Andreessen Horowitz, Benchmark, Accel",San Francisco CA,
Mixpanel,mixpanel.com,SaaS,"Andreessen Horowitz, Sequoia, Lightspeed",San Francisco CA,
Attentive,attentive.com,SaaS,"Sequoia, IVP",New York NY,
Iterable,iterable.com,SaaS,"Index Ventures",San Francisco CA,
Front,front.com,SaaS,"Sequoia, Battery Ventures",San Francisco CA,
