"Company","Sector","Backing Tier-One Firm(s)","Verified Employee Count","Source of Employee Count","HQ City, State","Status","Last Verified Date","Data Flag","Notes","HubSpot Company ID","HubSpot Matched Name"
"Alloy","Fintech","Lightspeed, Bessemer","415-418","Tracxn Jun 30 2026 (418); LeadIQ Jun 2026 (415)","New York, NY","Private","2026-08-25","","","",""
"Altruist","Fintech","Insight Partners","312-905","Tracxn Jun 1 2026 (905); Revelio Dec 2025 (695); PitchBook (312)","Culver City, CA","Private","2026-08-25","","Wide spread; HQ corrected from Los Angeles","",""
"Brex","Fintech","Kleiner Perkins","1,705-1,800","Revelio Mar 2026 (1.8K); PitchBook (1,705)","San Francisco, CA","Private","2026-08-25","","Wikipedia notes 2021 headquarterless move; 2026 sources list SF","63951562689","Brex"
"Carta","Fintech","Andreessen Horowitz, Union Square Ventures, Lightspeed","~2,000","GetLatka 2026; ZoomInfo","San Francisco, CA","Private","2026-08-25","","Only USV portfolio company confirmed in range","",""
"Coalition","Fintech","Index Ventures","701-733","PitchBook (733); Tracxn Jun 30 2026 (714)","San Francisco, CA","Private","2026-08-25","","Cyber insurance; Index backing confirmed via Tracxn","",""
"Forter","Fintech","Bessemer, Sequoia","706-708","Revelio/LeadIQ Apr 2026","New York, NY (dual with Tel Aviv)","Private","2026-08-25","FLAGGED","FLAGGED - dual HQ; several sources list Tel Aviv as primary","",""
"Lithic","Fintech","Index Ventures, Bessemer","188-200","Tracxn Jun 30 2026 (200); LeadIQ Jun 2026 (193); LeadIQ Mar 2026 (188)","New York, NY","Private","2026-08-25","","","",""
"Mercury","Fintech","Andreessen Horowitz","1,582","Tracxn, Apr 30 2026","San Francisco, CA","Private","2026-08-25","","","",""
"Middesk","Fintech","Sequoia, Accel","121-156","Tracxn Jun 30 2026 (156); LeadIQ Mar 2026 (145); Unify (121)","San Francisco, CA","Private","2026-08-25","","Near the 100 floor","",""
"Modern Treasury","Fintech","Andreessen Horowitz, Benchmark","122-206","PitchBook (122); Tracxn Jun 30 2026 (122); LeadIQ Apr 2026 (131); Websets (180-206)","San Francisco, CA","Private","2026-08-25","","Near the 100 floor","",""
"MX Technologies","Fintech","Battery Ventures, NEA","937-959","Revelio Mar 2026 (943); Tracxn Mar 31 2026 (959)","Lehi, UT","Private","2026-08-25","","","",""
"Newfront","Fintech","Founders Fund","623-756","Revelio Dec 2025 (756); LeadIQ Feb 2026 (667); PitchBook (623)","San Francisco, CA","Private","2026-08-25","","","",""
"Persona","Fintech","Index Ventures, Founders Fund","595-709","Tracxn Jun 30 2026 (709); LeadIQ May 2026 (689); Latka (595)","San Francisco, CA","Private","2026-08-25","","","",""
"Plaid","Fintech","Andreessen Horowitz, Index, Kleiner Perkins, NEA","1,607","Revelio Labs, Mar 2026","San Francisco, CA","Private","2026-08-25","","Sources agree closely","",""
"Ramp","Fintech","Founders Fund, Andreessen Horowitz, Khosla, General Catalyst","2,455-2,555","Revelio Mar 2026 (2,455); Tracxn Jun 30 2026 (2,555)","New York, NY","Private","2026-08-25","BORDERLINE","BORDERLINE - crossed 2500 cap between Mar and Jun 2026","63579503567","Ramp"
"Sardine","Fintech","Andreessen Horowitz","325-343","Tracxn Jun 30 2026 (343); PitchBook (325)","San Francisco, CA (disputed - Miami FL)","Private","2026-08-25","FLAGGED","FLAGGED - HQ conflict SF vs Miami; both US","",""
"Sift","Fintech","Insight Partners, Union Square Ventures","273-278","LeadIQ May 2026 (278); PitchBook (273)","San Francisco, CA","Private","2026-08-25","","Second USV portfolio company in range","",""
"Signifyd","Fintech","IVP","498-532","PitchBook (532); Revelio Mar 2026 (513); LeadIQ Apr 2026 (498)","San Jose, CA","Private","2026-08-25","","","",""
"Socure","Fintech","Accel","586-594","Revelio Mar 2026 (586); Tracxn Jun 30 2026 (594)","Incline Village, NV","Private","2026-08-25","","","",""
"Unit21","Fintech","Andreessen Horowitz","116-120","Tracxn May 31 2026 (120); PitchBook (116)","San Francisco, CA","Private","2026-08-25","","Near the 100 floor","",""
"Vouch","Fintech","Index Ventures","145","Tracxn, Feb 28 2026","San Francisco, CA","Private","2026-08-25","","","",""
"6sense","SaaS","Insight Partners","1,360-1,601","Revelio Mar 2026 (1,360); Tracxn May 31 2026 (1,601)","San Francisco, CA","Private","2026-08-25","","Workforce down 14.4% since 2023","",""
"Abridge","SaaS","Lightspeed, Redpoint, IVP, Bessemer, General Catalyst, Khosla","450-635","Crustdata (635); Tracxn May 31 2026 (605); Revelio Dec 2025 (539); PitchBook (450)","Pittsburgh, PA","Private","2026-08-25","","B2B SaaS sold into healthcare","",""
"Airbyte","SaaS","Accel, Benchmark","123-154","Latka (154); LeadIQ Apr 2026 (131); Revelio Mar 2026 (130)","San Francisco, CA","Private","2026-08-25","","Near the 100 floor","",""
"Airtable","SaaS","Benchmark, Index Ventures","833-947","Tracxn Jun 30 2026 (935); Revelio Mar 2026 (932); LeadIQ (947)","San Francisco, CA","Private","2026-08-25","","","",""
"Amplitude","SaaS","Benchmark, IVP, Sequoia, Battery","859-999","Revelio Mar 2026 (859); LeadIQ Apr 2026 (984); Tracxn Jun 30 2026 (999)","San Francisco, CA","Public (NASDAQ AMPL)","2026-08-25","","","",""
